gene_id,symbol,alias
1514,CTSL,"CATL,CTSL1,MEP"
4803,NGF,"Beta-NGF,HSAN5,NGFB"
15978,Ifng,"IFN-g,If2f,Ifg"
3553,IL1B,"IL-1,IL1-BETA,IL1F2,IL1beta"
1080,CFTR,"ABC35,ABCC7,CF,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"
5106,PCK2,"PEPCK,PEPCK-M,PEPCK2"
7390,UROS,"U,R,O,I,I,I,S"
128,ADH5,"ADH-3,ADHX,AMEDS,BMFS7,FALDH,FDH,GSH-FDH,GSNOR,HEL-S-60p"
1051,CEBPB,"C/EBP-beta,IL6DBP,NF-IL6,TCF5"
2395,FXN,"CyaY,FA,FARR,FRDA,X25"
871,SERPINH1,"AsTP3,CBP1,CBP2,HSP47,OI10,PIG14,PPROM,RA-A47,SERPINH2,gp46"
5592,PRKG1,"AAT8,PKG,PKG1,PRKG1B,PRKGR1B,cGK,cGK 1,cGK1,cGKI,cGKI-BETA,cGKI-alpha"
2069,EREG,"EPR,ER,Ep"
310738,Ngf,"Ngfb,beta-NGF"
210,ALAD,"ALADH,PBGS"
24498,Il6,"ILg6,Ifnb2"
3479,IGF1,"IGF,IGF-I,IGFI,MGF"
54704,PDP1,"PDH,PDP,PDPC,PPM2A,PPM2C"
850691,SSL1,None
1861,TOR1A,"AMC5,DQ2,DYT1"
5080,PAX6,"AN,AN1,AN2,ASGD5,D11S812E,FVH1,MGDA,WAGR"
3845,KRAS,"'C-K-RAS,C-K-RAS,CFC2,K-RAS2A,K-RAS2B,K-RAS4A,K-RAS4B,K-Ras,K-Ras 2,KI-RAS,KRAS1,KRAS2,NS,NS3,OES,RALD,RASK2,c-Ki-ras,c-Ki-ras2"
12091,Glb1,"Bge,Bgl,Bgl-e,Bgl-s,Bgl-t,Bgs,Bgt,C130097A14Rik"
3145,HMBS,"PBG-D,PBGD,PORC,UPS"
1810,DR1,"NC2,NC2-BETA,NC2B,NCB2"
403795,GH1,"GH,GHB1"
16175,Il1a,"I,l,-,1,a"
9463,PICK1,"PICK,PRKCABP"
5091,PC,"P,C,B"
4519,CYTB,"M,T,C,Y,B"
6310,ATXN1,"ATX1,D6S504E,SCA1"
2993,GYPA,"CD235a,GPA,GPErik,GPSAT,HGpMiV,HGpMiXI,HGpSta(C),MN,MNS,PAS-2"
4312,MMP1,"CLG,CLGN"
23095,KIF1B,"CMT2,CMT2A,CMT2A1,HMSNII,KLP,NBLST1"
24706,Rarb,None
18132,Notch4,"Int-3,Int3,N4"
7173,TPO,"MSA,TDH2A,TPX"
8643,PTCH2,"P,T,C,2"
8718,TNFRSF25,"APO-3,DDR3,DR3,GEF720,LARD,PLEKHG5,TNFRSF12,TR3,TRAMP,WSL-1,WSL-LR"gene_id,symbol,alias
4018,LPA,"AK38,APOA,LP"
914,CD2,"LFA-2,SRBC,T11"
6647,SOD1,"ALS,ALS1,HEL-S-44,IPOA,SOD,STAHP,hSod1,homodimer"
4538,ND4,"M,T,N,D,4"
5948,RBP2,"CRABP-II,CRBP2,CRBPII,RBPC2"
351,APP,"AAA,ABETA,ABPP,AD1,APPI,CTFgamma,CVAP,PN-II,PN2,alpha-sAPP,preA4"
7124,TNF,"DIF,TNF-alpha,TNFA,TNFSF2,TNLG1F"
5624,PROC,"APC,PC,PROC1,THPH3,THPH4"
3082,HGF,"DFNB39,F-TCF,HGFB,HPTA,SF"
716,C1S,"E,D,S,P,D,2"
1280,COL2A1,"ANFH,AOM,COL11A3,SEDC,STL1"
